Designator,Mid X,Mid Y,Rotation,Layer
D71,330.82,-70.6225,90.0,bottom
D72,320.705,-99.125,90.0,bottom
D73,325.465,-118.2225,90.0,bottom
D74,318.325,-137.685,90.0,bottom
D75,327.5475,-176.005,90.0,bottom
D76,354.3225,-99.125,90.0,bottom
D77,354.3225,-118.1715,90.0,bottom
D78,354.025,-175.65,90.0,bottom
D79,373.3625,-99.074,90.0,bottom
D8,101.745,-70.274,90.0,bottom
D80,373.3625,-118.1715,90.0,bottom
D81,373.3625,-156.6675,90.0,bottom
D82,373.065,-175.4675,90.0,bottom
D83,392.7,-99.125,90.0,bottom
D84,392.4025,-118.114,90.0,bottom
D85,392.105,-175.65,90.0,bottom
D9,82.705,-99.074,90.0,bottom
J2,220.75,-47.5,180.0,top
LED1,56.525,-80.6225,0.0,bottom
LED10,266.525,-80.9025,0.0,bottom
LED11,285.565,-80.605,0.0,bottom
LED12,304.605,-80.605,0.0,bottom
LED13,323.645,-80.605,0.0,bottom
LED14,56.49,-109.165,0.0,bottom
LED15,75.53,-109.165,0.0,bottom
LED16,94.3425,-109.165,0.0,bottom
LED17,113.61,-109.2,0.0,bottom
LED18,132.3525,-109.2,0.0,bottom
LED19,151.69,-109.165,0.0,bottom
LED2,94.64,-80.605,0.0,bottom
LED20,170.73,-109.165,0.0,bottom
LED21,189.77,-109.165,0.0,bottom
LED22,208.81,-109.165,0.0,bottom
LED23,227.85,-109.165,0.0,bottom
LED24,246.89,-109.165,0.0,bottom
LED25,265.93,-109.165,0.0,bottom
LED26,284.97,-109.165,0.0,bottom
LED27,313.53,-109.165,0.0,bottom
LED28,347.1475,-109.165,0.0,bottom
LED29,366.1875,-109.165,0.0,bottom
LED3,113.61,-80.605,0.0,bottom
LED30,385.2275,-109.165,0.0,bottom
LED31,61.25,-128.205,0.0,bottom
LED32,85.05,-128.205,0.0,bottom
LED33,104.09,-128.205,0.0,bottom
LED34,123.13,-128.205,0.0,bottom
LED35,142.17,-128.205,0.0,bottom
LED36,161.21,-128.205,0.0,bottom
LED37,180.25,-128.205,0.0,bottom
LED38,199.29,-128.205,0.0,bottom
LED39,218.0325,-128.205,0.0,bottom
LED4,132.65,-80.605,0.0,bottom
LED40,237.37,-128.24,0.0,bottom
LED41,256.41,-128.205,0.0,bottom
LED42,275.45,-128.205,0.0,bottom
LED43,294.49,-128.205,0.0,bottom
LED44,318.29,-128.205,0.0,bottom
LED45,347.1475,-128.205,0.0,bottom
LED46,366.1875,-128.205,0.0,bottom
LED47,385.2275,-128.205,0.0,bottom
LED48,63.63,-147.245,0.0,bottom
LED49,89.81,-147.245,0.0,bottom
LED5,151.69,-80.605,0.0,bottom
LED50,108.85,-147.245,0.0,bottom
LED51,127.89,-147.245,0.0,bottom
LED52,146.93,-147.245,0.0,bottom
LED53,165.97,-147.245,0.0,bottom
LED54,185.01,-147.245,0.0,bottom
LED55,204.05,-147.245,0.0,bottom
LED56,223.09,-147.245,0.0,bottom
LED57,242.13,-147.28,0.0,bottom
LED58,261.17,-147.245,0.0,bottom
LED59,280.21,-147.245,0.0,bottom
LED6,180.5475,-80.605,0.0,bottom
LED60,311.15,-147.245,0.0,bottom
LED61,68.39,-166.285,0.0,bottom
LED62,99.0325,-166.285,0.0,bottom
LED63,118.37,-166.285,0.0,bottom
LED64,137.41,-166.285,0.0,bottom
LED65,156.45,-166.285,0.0,bottom
LED66,175.49,-166.285,0.0,bottom
LED67,194.53,-166.285,0.0,bottom
LED68,213.3425,-166.3025,0.0,bottom
LED69,232.61,-166.285,0.0,bottom
LED7,199.5875,-80.605,0.0,bottom
LED70,251.65,-166.285,0.0,bottom
LED71,270.76,-166.285,0.0,bottom
LED72,306.39,-166.285,0.0,bottom
LED73,365.89,-166.285,0.0,bottom
LED74,58.87,-185.325,0.0,bottom
LED75,82.67,-185.325,0.0,bottom
LED76,106.47,-185.325,0.0,bottom
LED77,177.87,-185.325,0.0,bottom
LED78,249.27,-185.325,0.0,bottom
LED79,273.07,-185.325,0.0,bottom
LED8,218.6275,-80.605,0.0,bottom
LED80,296.87,-185.325,0.0,bottom
LED81,320.74,-185.325,0.0,bottom
LED82,346.85,-185.325,0.0,bottom
LED83,365.96,-185.325,0.0,bottom
LED84,385.0,-185.325,0.0,bottom
LED9,237.6675,-80.605,0.0,bottom
R1,42.84,-60.69,90.0,bottom
R2,372.874,-68.16,90.0,top
R3,224.125,-58.6,0.0,top
R4,220.625,-58.55,0.0,top
SW10,85.024,-120.399,0.0,top
SW11,89.789625,-139.449,0.0,top
SW12,99.3115,-158.499,0.0,top
SW13,82.614,-177.549,0.0,top
SW14,113.595875,-72.774,0.0,top
SW15,94.549,-101.349,0.0,top
SW16,104.077125,-120.399,0.0,top
SW17,108.839625,-139.449,0.0,top
SW18,118.364625,-158.499,0.0,top
SW19,106.419,-177.5465,0.0,top
SW2,56.445875,-72.774,0.0,top
SW20,132.645875,-72.774,0.0,top
SW21,113.599,-101.349,0.0,top
SW22,123.124,-120.399,0.0,top
SW23,127.889625,-139.449,0.0,top
SW24,137.4115,-158.499,0.0,top
SW25,151.695875,-72.774,0.0,top
SW26,132.649,-101.349,0.0,top
SW27,142.177125,-120.399,0.0,top
SW28,146.939625,-139.449,0.0,top
SW29,156.4615,-158.499,0.0,top
SW3,56.445875,-101.349,0.0,top
SW30,151.699,-101.349,0.0,top
SW31,161.227125,-120.399,0.0,top
SW32,165.989625,-139.449,0.0,top
SW33,175.514625,-158.499,0.0,top
SW34,177.819,-177.5465,0.0,top
SW35,180.508375,-72.76775,0.0,top
SW36,170.679,-101.349,0.0,top
SW37,180.199,-120.4265,0.0,top
SW38,184.959,-139.4665,0.0,top
SW39,194.479,-158.5065,0.0,top
SW4,61.208375,-120.399,0.0,top
SW40,199.5365,-72.8265,0.0,top
SW41,189.714,-101.3865,0.0,top
SW42,199.239,-120.4265,0.0,top
SW43,203.994,-139.4665,0.0,top
SW44,213.519,-158.5065,0.0,top
SW45,218.5765,-72.8265,0.0,top
SW46,208.754,-101.3865,0.0,top
SW47,218.274,-120.4265,0.0,top
SW48,223.039,-139.4665,0.0,top
SW49,232.559,-158.5065,0.0,top
SW5,63.589625,-139.449,0.0,top
SW50,237.6165,-72.8265,0.0,top
SW51,227.799,-101.3865,0.0,top
SW52,237.314,-120.4265,0.0,top
SW53,242.074,-139.4665,0.0,top
SW54,251.594,-158.5065,0.0,top
SW55,249.219,-177.5465,0.0,top
SW56,266.474,-72.8265,0.0,top
SW57,246.839,-101.3865,0.0,top
SW58,256.354,-120.4265,0.0,top
SW59,261.114,-139.4665,0.0,top
SW6,68.352125,-158.499,0.0,top
SW60,270.634,-158.5065,0.0,top
SW61,273.014,-177.5465,0.0,top
SW62,285.509,-72.8265,0.0,top
SW63,265.879,-101.3865,0.0,top
